Date,Close,High,Low,Open,Volume,PrevClose,Range,MA3,Ticker
2023-01-03,123.47061157226562,129.22605213593528,122.58211921528644,128.6139854814398,112117500,,6.643932920648837,,AAPL
2023-01-04,124.7441177368164,127.01470850998557,123.48048749262259,125.26733892869382,89113600,123.47061157226562,3.534221017362981,,AAPL
2023-01-05,123.4212646484375,126.13609817024776,123.16459490202124,125.50428297135478,80962700,124.7441177368164,2.9715032682265274,123.87866465250652,AAPL
2023-01-06,127.96240997314453,128.62384018148796,123.29290160052527,124.39858171183529,87754700,123.4212646484375,5.330938580962695,125.37593078613281,AAPL
2023-01-09,128.4856414794922,131.70396238313268,128.22897177101316,128.80155656407595,70790800,127.96240997314453,3.4749906121195124,126.62310536702473,AAPL
2023-01-10,129.05824279785156,129.5814640429866,126.48161843097465,128.59425187274505,63896200,128.4856414794922,3.099845612011947,128.5020980834961,AAPL
2023-01-11,131.7829132080078,131.80264659886433,128.7916625546179,129.57155327585005,69458900,129.05824279785156,3.0109840442464417,129.77559916178384,AAPL
2023-01-12,131.70394897460938,132.54307008824253,129.75914024116136,132.16793979306604,71379600,131.7829132080078,2.7839298470811684,130.8483683268229,AAPL
2023-01-13,133.0366668701172,133.19462438541646,129.97631909539697,130.34158266882602,57809700,131.70394897460938,3.2183052900194866,132.17450968424478,AAPL
2023-01-17,134.2016143798828,135.53434166770566,132.4147629011091,133.10580835372033,63646600,133.0366668701172,3.119578766596561,132.98074340820312,AAPL
2023-01-18,133.48097229003906,136.83748784767334,133.303266255476,135.07038458340625,69672800,134.2016143798828,3.5342215921973548,133.57308451334634,AAPL
2023-01-19,133.54019165039062,134.50765533885576,132.0593734264766,132.36540678256628,58280400,133.48097229003906,2.4482819123791444,133.74092610677084,AAPL
2023-01-20,136.10694885253906,136.25503972906995,132.50363014524083,133.55007272593946,80223600,133.54019165039062,3.7514095838291155,134.37603759765625,AAPL
2023-01-23,139.3054962158203,141.4872415250396,136.136538833656,136.3537266947968,81760300,136.10694885253906,5.350702691383589,136.31754557291666,AAPL
2023-01-24,140.70733642578125,141.32928485597137,138.50585770726414,138.51572440513698,66435100,139.3054962158203,2.823427148707225,138.70659383138022,AAPL
