Date,Close
,AAPL
2015-01-02,24.28858184814453
2015-01-05,23.60433006286621
2015-01-06,23.60655403137207
2015-01-07,23.937572479248047
2015-01-08,24.8573055267334
2015-01-09,24.883968353271484
2015-01-12,24.27080535888672
2015-01-13,24.486297607421875
2015-01-14,24.392993927001953
2015-01-15,23.73096466064453
2015-01-16,23.546567916870117
2015-01-20,24.153060913085938
2015-01-21,24.33745765686035
2015-01-22,24.970611572265625
2015-01-23,25.099462509155273
2015-01-26,25.126115798950195
2015-01-27,24.246370315551758
2015-01-28,25.617084503173828
2015-01-29,26.41463851928711
2015-01-30,26.02808380126953
2015-02-02,26.35464859008789
2015-02-03,26.35909652709961
2015-02-04,26.561260223388672
2015-02-05,26.750839233398438
2015-02-06,26.52557373046875
2015-02-09,26.70177459716797
2015-02-10,27.214752197265625
2015-02-11,27.852630615234375
2015-02-12,28.20503044128418
2015-02-13,28.34332275390625
2015-02-17,28.51059341430664
2015-02-18,28.709087371826172
2015-02-19,28.64887046813965
2015-02-20,28.883058547973633
2015-02-23,29.663671493530273
2015-02-24,29.478567123413086
2015-02-25,28.724702835083008
2015-02-26,29.088254928588867
2015-02-27,28.651100158691406
2015-03-02,28.791614532470703
2015-03-03,28.851831436157227
2015-03-04,28.6689395904541
2015-03-05,28.193880081176758
2015-03-06,28.236248016357422
2015-03-09,28.356687545776367
2015-03-10,27.770112991333008
2015-03-11,27.263826370239258
2015-03-12,27.75673484802246
2015-03-13,27.564924240112305
2015-03-16,27.86824607849121
2015-03-17,28.33439826965332
2015-03-18,28.653331756591797
2015-03-19,28.436986923217773
2015-03-20,28.080137252807617
2015-03-23,28.372312545776367
2015-03-24,28.25633430480957
2015-03-25,27.518077850341797
2015-03-26,27.709896087646484
2015-03-27,27.48908805847168
2015-03-30,28.18495750427246
2015-03-31,27.752273559570312
2015-04-01,27.712121963500977
2015-04-02,27.95077133178711
2015-04-06,28.403533935546875
2015-04-07,28.10466957092285
2015-04-08,28.013221740722656
2015-04-09,28.227333068847656
2015-04-10,28.347774505615234
2015-04-13,28.292016983032227
2015-04-14,28.16935157775879
2015-04-15,28.27640151977539
2015-04-16,28.140344619750977
2015-04-17,27.823640823364258
2015-04-20,28.45928955078125
2015-04-21,28.30539321899414
2015-04-22,28.68678855895996
2015-04-23,28.92097282409668
2015-04-24,29.057029724121094
2015-04-27,29.58561897277832
2015-04-28,29.119474411010742
2015-04-29,28.691253662109375
2015-04-30,27.912857055664062
2015-05-01,28.760393142700195
2015-05-04,28.704631805419922
2015-05-05,28.057823181152344
2015-05-06,27.88163185119629
